@RELATION CDNA_MICROARRAY
@ATTRIBUTE Array_ID string @PRIMARY
@ATTRIBUTE cDNA_Sequence string @REFERENCE GENE.DNA_Sequence
@ATTRIBUTE Treatment {HeatStress, Pathogen, Control}
@ATTRIBUTE Hybridizations {Cy3, Cy5}
@ATTRIBUTE Data { R, N, I } 
@ATTRIBUTE Normalization {Log, LogCenter, Threshold}
@ATTRIBUTE Regulation {Up, Down, Neither}

@DATA
Pathway_3,  flowering_time_control,  plant_development
Pathway_4,  vernalization,           plant_development
Pathway_5,  gibberellin,             plant_development
Pathway_6,  defense_response1,       plant_immune_defense
Pathway_7,  defense_response2,       plant_immune_defense
Pathway_8,  defense_response3,       plant_immune_defense
Pathway_9,  aptosis1,                programmed_cell_death
Pathway_10, aptosis2,                programmed_cell_death 
Pathway_11, insect_mating_behavior1, insect_mating_behavior
Pathway_12, insect_mating_behavior2, insect_mating_behavior
