@RELATION CDNA_MICROARRAY
@ATTRIBUTE Array_ID string @PRIMARY
@ATTRIBUTE cDNA_Sequence string @REFERENCE GENE.DNA_Sequence
@ATTRIBUTE Treatment {HeatStress, Pathogen, Control}
@ATTRIBUTE Hybridizations {Cy3, Cy5}
@ATTRIBUTE Data { R, N, I } 
@ATTRIBUTE Normalization {Log, LogCenter, Threshold}
@ATTRIBUTE Regulation {Up, Down, Neither}

@DATA
Array_130,  Seq_1, Control,   Cy5,  I, LogCenter, Up
Array_131,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_132,  Seq_2, HeatStress, Cy5,  R, LogCenter, Up
Array_133,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_134,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_135,  Seq_1, Pathogen,   Cy3,  R, LogCenter, Up
Array_136, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_137, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_138, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_139, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_140, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_141,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_142,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_143,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_144,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_145,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_146,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_147,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_148,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_149,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_150, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_151, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_152, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_153, Seq_2, Control,    Cy5,  R, LogCenter, Neither
Array_154, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_155,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_156,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_157,  Seq_3, Pathogen,   Cy5,  N, LogCenter, Down
Array_158,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_159,  Seq_2, Control,    Cy3,  R, LogCenter, Neither
Array_160,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_161,  Seq_1, Control,    Cy3,  R, LogCenter, Neither
Array_162,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_163,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_164, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_165, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_166, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_167, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_168, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_169,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_170,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_171,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_172,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_173,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_174,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_175,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_176,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_177,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_178, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_179, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_180, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_181, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_182, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_183,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_184,  Seq_2, Pathogen,   Cy5,  R, LogCenter, Neither
Array_185,  Seq_3, Pathogen,   Cy5,  I, LogCenter, Down
Array_186,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_187,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_188,  Seq_2, HeatStress, Cy5,  R, LogCenter, Up
Array_189,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_190,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_191,  Seq_1, Pathogen,   Cy3,  R, LogCenter, Up
Array_192, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_193, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_194, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_195, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_196, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_197,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_198,  Seq_2, Pathogen,   Cy3,  N, LogCenter, Neither
Array_199,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_200,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_201,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_202,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_203,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_204,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_205,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_206, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_207, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_208, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_209, Seq_2, Control,    Cy5,  R, LogCenter, Neither
Array_210, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_211,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_212,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_213,  Seq_3, Pathogen,   Cy5,  N, LogCenter, Down
Array_214,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_215,  Seq_2, Control,    Cy3,  R, LogCenter, Neither
Array_216,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_217,  Seq_1, Control,    Cy3,  R, LogCenter, Neither
Array_218,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_219,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_220, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_221, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_222, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_223, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_224, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_225,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_226,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_227,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_228,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_229,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_230,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_231,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_232,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_233,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_234, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_235, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_236, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_237, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_238, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_239,  Seq_1, Control,    Cy5,  N, LogCenter, Neither
Array_240,  Seq_2, Pathogen,   Cy5,  R, LogCenter, Neither
Array_241,  Seq_3, Pathogen,   Cy5,  I, LogCenter, Down
Array_242,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_243,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_244,  Seq_2, HeatStress, Cy5,  R, LogCenter, Up
Array_245,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_246,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_247,  Seq_1, Pathogen,   Cy3,  R, LogCenter, Up
Array_248, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_249, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_250, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_251, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_252, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_253,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_254,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_255,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_256,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_257,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_258,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_259,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_260,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_261,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_262, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_263, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_264, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_265, Seq_2, Control,    Cy5,  R, LogCenter, Neither
Array_266, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_267,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_268,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_269,  Seq_3, Pathogen,   Cy5,  N, LogCenter, Down
Array_270,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_271,  Seq_2, Control,    Cy3,  R, LogCenter, Neither
Array_272,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_273,  Seq_1, Control,    Cy3,  R, LogCenter, Neither
Array_274,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_275,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_276, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_277, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_278, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_279, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_280, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_281,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_282,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_283,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_284,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_285,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_286,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_287,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_288,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_289,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_290, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_291, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_292, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_293, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_294, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_295,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_296,  Seq_2, Pathogen,   Cy5,  R, LogCenter, Neither
Array_297,  Seq_3, Pathogen,   Cy5,  I, LogCenter, Down
Array_298,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_299,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_300,  Seq_2, HeatStress, Cy5,  R, LogCenter, Up
Array_301,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_302,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_303,  Seq_1, Pathogen,   Cy3,  R, LogCenter, Up
Array_304, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_305, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_306, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_307, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_308, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_309,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_310,  Seq_2, Pathogen,   Cy3,  N, LogCenter, Neither
Array_311,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_312,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_313,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_314,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_315,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_316,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_317,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_318, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_319, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_320, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_321, Seq_2, Control,    Cy5,  R, LogCenter, Neither
Array_322, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_323,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_324,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_325,  Seq_3, Pathogen,   Cy5,  N, LogCenter, Down
Array_326,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_327,  Seq_2, Control,    Cy3,  R, LogCenter, Neither
Array_328,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_329,  Seq_1, Control,    Cy3,  R, LogCenter, Neither
Array_330,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_331,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_332, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_333, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_334, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_335, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_336, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_337,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_338,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_339,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_340,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_341,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_342,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_343,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_344,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_345,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_346, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_347, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_348, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_349, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_350, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_351,  Seq_1, Control,    Cy5,  N, LogCenter, Neither
Array_352,  Seq_2, Pathogen,   Cy5,  R, LogCenter, Neither
Array_353,  Seq_3, Pathogen,   Cy5,  I, LogCenter, Down
Array_354,  Seq_1, Control,   Cy5,  I, LogCenter, Up
Array_355,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_356,  Seq_2, HeatStress, Cy5,  R, LogCenter, Up
Array_357,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_358,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_359, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_360, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_361, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_362, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_363, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_364,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_365,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_366,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_367,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_368,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_369,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_370,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_371,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_372,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_373, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_374, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_375, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_376, Seq_2, Control,    Cy5,  R, LogCenter, Neither
Array_377, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_378,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_379,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_380,  Seq_3, Pathogen,   Cy5,  N, LogCenter, Down
Array_381,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_382,  Seq_2, Control,    Cy3,  R, LogCenter, Neither
Array_383,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_384,  Seq_1, Control,    Cy3,  R, LogCenter, Neither
Array_385,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_386,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_387, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_388, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_389, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
