@RELATION bayesiannetwork

@ATTRIBUTE DISCONNECT { "TRUE", "FALSE" }
@ATTRIBUTE SAO2 { "LOW", "NORMAL", "HIGH" }
@ATTRIBUTE PVSAT { "LOW", "NORMAL", "HIGH" }
@ATTRIBUTE INTUBATION { "NORMAL", "ESOPHAGEAL", "ONESIDED" }
@ATTRIBUTE FIO2 { "LOW", "NORMAL" }
@ATTRIBUTE SHUNT { "NORMAL", "HIGH" }
@ATTRIBUTE PULMEMBOLUS { "TRUE", "FALSE" }
@ATTRIBUTE VENTALV { "ZERO", "LOW", "NORMAL", "HIGH" }
@ATTRIBUTE VENTLUNG { "ZERO", "LOW", "NORMAL", "HIGH" }
@ATTRIBUTE VENTTUBE { "ZERO", "LOW", "NORMAL", "HIGH" }
@ATTRIBUTE VENTMACH { "ZERO", "LOW", "NORMAL", "HIGH" }
@ATTRIBUTE MINVOLSET { "LOW", "NORMAL", "HIGH" }
@ATTRIBUTE KINKEDTUBE { "TRUE", "FALSE" }

@DATA
"TRUE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "ZERO", "NORMAL", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "LOW", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "LOW", "HIGH", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "TRUE"
"TRUE", "LOW", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "NORMAL", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "TRUE"
"TRUE", "LOW", "NORMAL", "ESOPHAGEAL", "LOW", "NORMAL", "FALSE", "HIGH", "HIGH", "HIGH", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "LOW", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "HIGH", "ZERO", "LOW", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE"
"FALSE", "NORMAL", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "TRUE"
"FALSE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE"
"TRUE", "LOW", "HIGH", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "ZERO", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "ESOPHAGEAL", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "LOW", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "HIGH", "ZERO", "LOW", "FALSE"
"TRUE", "LOW", "NORMAL", "ESOPHAGEAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "HIGH", "NORMAL", "LOW", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"FALSE", "LOW", "LOW", "NORMAL", "LOW", "NORMAL", "FALSE", "HIGH", "ZERO", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "HIGH", "FALSE"
"FALSE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "NORMAL", "LOW", "NORMAL", "LOW", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "HIGH", "FALSE"
"FALSE", "LOW", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "NORMAL", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "HIGH", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "ZERO", "ZERO", "NORMAL", "TRUE"
"FALSE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "NORMAL", "NORMAL", "ZERO", "NORMAL", "TRUE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "HIGH", "ZERO", "NORMAL", "FALSE"
"FALSE", "LOW", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "LOW", "HIGH", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "ZERO", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ESOPHAGEAL", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "LOW", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "TRUE"
"TRUE", "LOW", "LOW", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "NORMAL", "HIGH", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "HIGH", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "TRUE"
"TRUE", "HIGH", "LOW", "NORMAL", "NORMAL", "HIGH", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "LOW", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "NORMAL", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "LOW", "HIGH", "FALSE", "LOW", "HIGH", "HIGH", "ZERO", "HIGH", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "NORMAL", "HIGH", "FALSE", "LOW", "LOW", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "ESOPHAGEAL", "NORMAL", "HIGH", "FALSE", "HIGH", "NORMAL", "ZERO", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "NORMAL", "HIGH", "ZERO", "NORMAL", "TRUE"
"FALSE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "NORMAL", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ESOPHAGEAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "ZERO", "ZERO", "NORMAL", "FALSE"
"FALSE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "NORMAL", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "HIGH", "NORMAL", "LOW", "NORMAL", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "LOW", "FALSE"
"TRUE", "NORMAL", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "ZERO", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "HIGH", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "NORMAL", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "ESOPHAGEAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ESOPHAGEAL", "LOW", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "TRUE"
"TRUE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "NORMAL", "HIGH", "NORMAL", "HIGH", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "ZERO", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "LOW", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "NORMAL", "FALSE", "LOW", "LOW", "HIGH", "HIGH", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "HIGH", "FALSE", "LOW", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "LOW", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "NORMAL", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "NORMAL", "ONESIDED", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ESOPHAGEAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "ZERO", "ZERO", "LOW", "FALSE"
"TRUE", "LOW", "LOW", "NORMAL", "NORMAL", "HIGH", "FALSE", "LOW", "LOW", "HIGH", "ZERO", "NORMAL", "TRUE"
"TRUE", "HIGH", "NORMAL", "ESOPHAGEAL", "NORMAL", "HIGH", "FALSE", "HIGH", "HIGH", "HIGH", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "LOW", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "ZERO", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "HIGH", "NORMAL", "ESOPHAGEAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "LOW", "ZERO", "ZERO", "LOW", "FALSE"
"TRUE", "HIGH", "LOW", "ESOPHAGEAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"TRUE", "LOW", "HIGH", "NORMAL", "NORMAL", "NORMAL", "FALSE", "HIGH", "HIGH", "NORMAL", "ZERO", "NORMAL", "FALSE"
"FALSE", "HIGH", "LOW", "NORMAL", "NORMAL", "HIGH", "FALSE", "HIGH", "LOW", "HIGH", "ZERO", "NORMAL", "FALSE"
